date,regulation,source,ingested_at,pokemon_name,teratype_name,usage_raw
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,dark,0.10071334237685592
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,stellar,1.10684524669947
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,electric,0.18856626472265114
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,ice,3.784667383710527e-06
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,bug,0.00024174614389499416
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,poison,0.04608345901551675
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,fairy,907.5819224576243
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,dragon,180.07855405378322
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,water,69.39764850426691
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,grass,63.523502334117744
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,normal,0.5305116790077438
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,psychic,13.912439180575607
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,steel,23.602615355257633
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,dark,7.255038907339498
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,ghost,0.6435634622936455
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,fighting,0.9208867112007634
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,flying,1.8829967084871713
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,ground,0.13585824994185253
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,fire,50.84784101343716
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,bug,0.12212815667217075
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,electric,0.4296544573672292
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,poison,0.6161565025275397
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,stellar,0.003396388753487356
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,ice,0.006002005604497929
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,rock,0.0004926283406173626
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,water,485.20849962450023
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,ghost,15.3961736712906
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,grass,16.840764211644455
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,dark,52.44299656250915
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,fairy,426.6125943624047
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,fire,182.25319159268471
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,poison,2.7181202797240074
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,steel,14.14225641942488
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,ground,0.28364723673145
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,bug,0.30046523452248386
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,psychic,0.9463991820904487
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,dragon,5.651181966404409
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,flying,0.05456971697448132
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,rock,3.9756283855676653
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,stellar,0.023449537399704734
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,electric,0.08957874182776954
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,normal,0.11361551371042405
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,ice,0.00033005116344042573
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Amoonguss,fighting,0.0009451697458722763
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,poison,125.47615298078067
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,steel,14.279042393591535
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,dark,811.5480935749038
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,stellar,45.42815191875868
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,fighting,3.468734685326078
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,grass,56.26420407500878
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,fire,68.244292967153
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,fairy,1.071411960455088
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,ghost,90.98062998771738
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,electric,8.397569370433011e-07
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,water,0.12903798777732345
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,flying,0.18562012694018343
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,bug,1.273946129813169
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,ground,0.021674734551028862
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,ice,1.5002510564077198e-05
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,psychic,4.2503436226137836e-07
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,dragon,1.3450668967518453e-08
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,rock,0.005418299044620989
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu,normal,0.0
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Farigiraf,fairy,599.4999496671529
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Farigiraf,normal,28.701654264056003
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Farigiraf,steel,17.99253590646778
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Farigiraf,ghost,1.1220487175839575
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Farigiraf,dragon,77.27854424034467
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Farigiraf,grass,37.08748460553156
