date,regulation,source,ingested_at,pokemon_name,ability_name,usage_raw
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Goodra-Hisui,shellarmor,45.78776874088488
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Goodra-Hisui,gooey,0.20019368191358744
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Goodra-Hisui,sapsipper,3.1002264539808406
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Maushold,friendguard,36.49803431006808
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Maushold,technician,11.036246157972167
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Maushold,cheekpouch,0.004488283857016939
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Weezing,neutralizinggas,46.780026954098716
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Weezing,levitate,0.07431903390931582
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Weezing,stench,1.158757827351975e-05
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Empoleon,competitive,46.81954063142653
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Empoleon,torrent,0.004598957066266507
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Volcarona,flamebody,45.8845910043798
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Volcarona,swarm,0.050933142653279195
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Excadrill,sandrush,36.474693366819174
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Excadrill,sandforce,5.09075257906475
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Excadrill,moldbreaker,0.453285493394346
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Registeel,clearbody,43.360722994819184
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Registeel,lightmetal,1.744051566476834e-05
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Milotic,competitive,40.73670349022594
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Milotic,marvelscale,0.1991674888111879
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Milotic,cutecharm,0.09054517602497192
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Baxcalibur,thermalexchange,37.7817009998431
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Baxcalibur,icebody,1.2787241877936157
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Kommo-o,overcoat,26.101666797679584
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Kommo-o,soundproof,8.01951460444438
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Kommo-o,bulletproof,5.071509671878245
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Dragapult,clearbody,37.03576650927418
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Dragapult,infiltrator,0.8430129534472419
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Dragapult,cursedbody,0.2768970306889593
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Scizor,technician,36.44781833667234
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Scizor,swarm,0.007545024507714326
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Scizor,lightmetal,0.0019753329710537337
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gothitelle,shadowtag,35.22804385853297
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gothitelle,competitive,0.024155125170434555
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gothitelle,frisk,0.10448331933803051
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Sableye,prankster,35.52807617146762
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Sableye,stall,1.9375496962403815e-07
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Sableye,keeneye,0.007356478126465393
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Clefairy,friendguard,33.70750722316759
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Clefairy,magicguard,0.032933801168996746
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Clefairy,cutecharm,0.6420845627468847
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gastrodon,stormdrain,35.23824669811915
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gastrodon,sandforce,0.024272403550735566
